_Version,_OID,_use,_name,_mjd,_sol,_ra,_dec,_vg,_type,_a,_q,_e,_peri,_node,_incl,_M,_T/e,_r_sd,_v_sd,_Hb,_He,_zr,_mag,_mass,_memo
501,4000000688,1,_TO_new_DPA,57478.62326,11.1,309.100006,-62.799999,58,0,85.005382,0.949647,0.988828,334.19471,191.101019,107.137751,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000689,1,_TO_new_NHY,57450.48797,343.100006,159.100006,-12.2,19.700001,0,1.578617,0.619852,0.607345,89.540522,163.108328,12.621527,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000690,1,_TO_new_APX,57453.27838,345.899994,135.5,-35.200001,25.9,0,207.37576,0.848426,0.995909,44.798941,165.904284,30.114127,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000691,1,_TO_new_NVI,57461.38431,354,185.699997,2.3,23,0,1.420552,0.443175,0.688026,291.096438,354.009262,3.882398,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000692,1,_TO_new_SVI,57461.38431,354,179.699997,-8.5,22.9,0,1.48254,0.465916,0.685731,107.843214,174.001589,6.821838,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000693,1,_TO_new_SAL,57466.40687,359,141.800003,-7,11.9,0,2.226954,0.917837,0.587851,37.926641,179.00093,6.734708,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000694,1,_TO_new_SGE,57468.42032,1,114.5,12.2,8,0,2.256355,0.989307,0.561547,11.29642,180.996569,1.970737,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000695,1,_TO_new_MCA,57457.3776,350,352.799988,52.299999,14.5,0,2.411543,0.926525,0.615796,145.452731,350.005891,17.392438,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000696,1,_TO_new_MKA,57461.38431,354,338.700012,-7.7,33.200001,0,2.751301,0.245177,0.910887,54.50993,354.014497,1.878145,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000697,1,_TO_new_QPE,57461.38431,354,352.299988,12.9,21.700001,0,2.901147,0.63992,0.779425,100.734593,354.006243,10.038801,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000698,1,_TO_new_LEO,57709.60543,235.43309,153.916412,21.853827,69.965546,0,6.488403,0.984098,0.84833,171.986711,235.446358,162.026515,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000699,1,_TO_new_DME,57464.09157,356.700012,58,-80,33,0,3.053175,0.981965,0.678379,345.338694,176.700655,55.714377,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000700,1,_TO_new_DAL,57490.71279,23,310.600006,-0.2,66.199997,0,81.093083,0.723397,0.991079,116.132509,22.995966,146.300969,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000701,1,_TO_new_PUM,57490.71279,23,188.600006,58.700001,10,0,1.692245,0.988548,0.415837,197.810085,22.9978,13.407378,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000702,1,_TO_new_NGV,57492.0427,24.299999,180.600006,17.700001,11.7,0,2.131664,0.916753,0.569936,220.264903,24.303009,5.332301,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000703,1,_TO_new_SGV,57490.40842,22.700001,183.199997,-15.5,13.9,0,1.712161,0.808753,0.527642,63.878233,202.694585,5.40542,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000704,1,_TO_new_SLE,57495.5135,27.700001,192.600006,3.1,23,0,-37.951669,0.752506,1.019828,239.740638,27.698246,4.916956,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000705,1,_TO_new_PPU,57501.55817,33.599998,110.400002,-45.099998,15,0,2.940329,1.005617,0.657992,359.652931,213.593616,20.983337,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000706,1,_TO_new_ABO,57504.73996,36.700001,218.800003,14.5,20.9,0,2.440791,0.723458,0.703597,251.389467,36.690393,17.435859,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000707,1,_TO_new_GLI,57507.11432,39,223.899994,-12.8,26,0,2.209329,0.458183,0.792614,283.457342,38.998547,3.651097,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000708,1,_TO_new_XLI,57507.11432,39,236.300003,-18.9,34.200001,0,2.129733,0.199881,0.906147,313.320638,38.998716,1.701692,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000709,1,_TO_new_DCP,57486.84309,19.200001,19.6,21,18,0,2.11123,0.695806,0.670426,103.847936,19.200291,6.583245,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000710,1,_TO_new_MDR,57497.05261,29.200001,281,57.900002,28.200001,0,2.326297,1.003366,0.568685,175.682086,29.19966,48.282243,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000711,1,_TO_new_LPE,57497.55991,29.700001,343.5,19.9,38.400002,0,1.430423,0.20608,0.855931,43.656587,29.694903,61.222643,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000712,1,_TO_new_APS,57498.17816,30.299999,7.6,3.3,28.9,0,1.325061,0.219099,0.83465,44.047823,30.503675,0.029677,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000713,1,_TO_new_ELY,57518.24042,49.786041,291.696442,43.75515,44.33807,0,27.284441,1.002553,0.963256,189.859691,49.781569,75.006304,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000714,1,_TO_new_CAU,57523.32826,54.700001,285.100006,-39.900002,56.400002,0,12.807671,0.22027,0.982802,125.304989,234.69304,121.637809,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000715,1,_TO_new_PAQ,57528.81994,60,350.899994,-3.5,64,0,2.877619,0.604892,0.789794,95.063746,59.984302,179.187326,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000716,1,_TO_new_MLV,57513.29491,45,217.699997,-31.200001,25.6,0,3.388092,0.569299,0.831971,87.662009,224.99423,13.11483,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000717,1,_TO_new_NOP,57518.15312,49.700001,249,-14,27.799999,0,1.299393,0.27128,0.791226,310.973747,49.698477,10.78101,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000718,1,_TO_new_URS,57739.25119,265.49057,215.131393,76.200485,33.156734,0,4.085184,0.935568,0.770985,207.512416,265.498613,53.585572,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000719,1,_TO_new_SOP,57525.40181,56.700001,258,-24,27.799999,0,1.174663,0.227271,0.806523,137.439809,236.689328,1.49646,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000720,1,_TO_new_EAU,57527.78158,59,284.899994,15.6,30.799999,0,0.859522,0.349657,0.593196,319.262102,58.981726,59.877352,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000721,1,_TO_new_NOC,57515.05414,46.700001,2.3,17.799999,33,0,0.968118,0.110232,0.886137,26.364451,46.699359,40.574591,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000722,1,_TO_new_OCE,57515.05414,46.700001,22.5,-3.6,36.599998,0,1.816182,0.13801,0.924011,217.110873,226.698645,30.279842,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000723,1,_TO_new_DEA,57523.63264,55,44.700001,21.200001,20.6,0,1.508733,0.509971,0.661988,75.862775,54.988387,3.091736,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000724,1,_TO_new_NMA,57523.63264,55,37.200001,18.1,25.200001,0,1.475936,0.354865,0.759566,59.771172,54.988149,3.507536,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000725,1,_TO_new_SMA,57523.63264,55,33.700001,9.2,28.9,0,1.419533,0.239449,0.831318,227.063938,234.985361,6.047518,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000726,1,_TO_new_ICA,57530.89785,62,43.099998,69.199997,19.1,0,1.935209,0.834872,0.568588,121.068762,61.9778,25.586788,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000727,1,_TO_new_CET,57565.40504,95,24.1,-11.7,66.800003,0,173.778291,0.902861,0.994805,320.872639,274.987001,144.106452,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000728,1,_TO_new_TAQ,57567.80371,97.300003,340.299988,-11.5,64.300003,0,41.204736,0.415557,0.989915,100.866286,277.27474,172.853246,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000729,1,_TO_new_HYD,57726.88002,252.902084,123.179855,3.044439,58.999882,0,11.709035,0.267492,0.977155,118.304939,72.927723,130.39774,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000730,1,_TO_new_SSC,57539.24971,70,243.699997,-22.1,23,0,3.275366,0.617867,0.811359,82.652333,249.984472,0.630039,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000731,1,_TO_new_ACI,57543.31743,73.900002,218.600006,-70.199997,27.1,0,145.122259,0.854828,0.99411,46.83144,253.890914,33.431574,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000732,1,_TO_new_NZC,57555.95182,86,298.299988,-7.1,36.299999,0,1.260801,0.10577,0.916109,330.905631,85.970284,40.087206,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000733,1,_TO_new_SZC,57549.68028,80,297.799988,-33.900002,33.200001,0,1.055571,0.113984,0.892017,152.000034,259.979836,32.369013,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000734,1,_TO_new_JLY,57555.14015,85.199997,280.299988,55,33.400002,0,167.579687,0.995088,0.994062,196.475523,85.195588,52.124687,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000735,1,_TO_new_NSS,57562.56804,92.300003,293.100006,-14,23.200001,0,1.080399,0.316231,0.707302,311.514903,92.281118,8.238258,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000736,1,_TO_new_SSS,57556.99794,87,278.600006,-25.299999,29.299999,0,2.474886,0.356119,0.856107,114.089607,266.972084,2.57432,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000737,1,_TO_new_SCU,57565.30359,94.900002,281.700012,0.9,18.9,0,1.319473,0.585693,0.556116,280.718143,94.890218,15.832673,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000738,1,_TO_new_NTA,57708.54949,234.370377,62.029522,24,26.689751,0,2.013398,0.394765,0.803931,290.365107,234.383946,3.146008,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000739,1,_TO_new_JBO,57566.75658,96.300003,222.899994,47.900002,14.1,0,3.237487,1.015905,0.686206,183.33587,96.27584,18.483851,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000740,1,_TO_new_ARI,57546.24394,76.699997,40.200001,23.799999,35.700001,0,1.293885,0.084628,0.934594,26.183015,76.693421,24.0179,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000741,1,_TO_new_ZPE,57548.23017,78.599998,64.5,27.5,25.1,0,1.670579,0.401011,0.759957,66.353699,78.594403,6.153469,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
