code,streamname,sol_1,sol2,sol_peak,SelectStart,SelectEnd
DED,December epsilon Eridanids,247.600006,277.600006,262.600006,,
DEL,December Lyncids,238.199997,268.200012,253.199997,,
DEQ,Dayt. epsilon Aquariids,300.799988,330.799988,315.799988,,
DFV,Dayt. psi Virginids,187,217,202,,
DHY,December Hydrids,251,281,266,,
DKD,December Kappa Draconids,239.735321,259.66983,250.181793,,
DLI,mu Virginids,24,54,39,,
DLM,December Leonis Minorids,247.399994,277.399994,262.399994,,
DLT,Dayt. lambda Taurids,70.5,100.5,85.5,,
DMC,Dayt. mu Cancrids,111,141,126,,
DME,delta Mensids,341.700012,11.7,356.700012,,
DMH,December mu Hydrids,249.800003,279.799988,264.799988,,
DMO,Dayt. Monocerotids,122,152,137,,
DMT,December mu Taurids,247.100006,277.100006,262.100006,,
DNA,North. December delta Arietids,241.5,271.5,256.5,,
DOR,alpha Doradids,193,223,208,,
DPA,delta Pavonids,356.100006,26.1,11.1,,
DPC,December phi Cassiopeiids,237.479996,267.480011,252.479996,,
DPI,delta Piscids,77,107,92,,
DPL,Dayt. pi Leonids,159,189,174,,
DRA,October Draconids,180.100006,210.100006,195.100006,,
DRV,December rho Virginids,241,271,256,,
DSA,South. December delta Arietids,241.5,271.5,256.5,,
DSC,Dayt. Sagittariids-Capricornid,297.5,327.5,312.5,,
DSE,delta Serpentids,308,338,323,,
DSV,December sigma Virginids,252.414001,282.414001,267.414001,,
DSX,Dayt. Sexantids,187.841339,190.891708,189.207962,,
DTA,December theta Aurigids,246,276,261,,
DTR,Dayt. Triangulids,31,61,46,,
DVE,delta Velids,304.700012,334.700012,319.700012,,
DXC,Dayt. chi Capricornids,296.299988,326.299988,311.299988,,
DXL,Dayt. chi Leonids,139,169,154,,
EAU,epsilon Aquilids,44,74,59,,
ECA,epsilon Carinids,248.699997,278.700012,263.700012,,
ECO,epsilon Columbids,292.100006,322.100006,307.100006,,
ECR,eta Carinids,265.700012,295.700012,280.700012,,
EER,epsilon Eridanids,155,185,170,,
EGE,epsilon Geminids,191,221,206,,
EHY,eta Hydrids,242,272,257,,
ELY,Eta Lyrids,42.466862,54.16568,49.786041,,
EPC,October epsilon Piscids,180,210,195,,
EPG,epsilon Pegasids,90.5,120.5,105.5,,
EPR,epsilon Perseids,80.5,110.5,95.5,,
EPV,epsilon Virginids,243,273,258,,
ERI,Eta Eridanids,124.13958,147.352127,137.632736,,
ESE,eta Serpentids,136,166,151,,
ETA,Eta Aquariids,34.743931,68.66069,46.28019,,
ETP,eta Pegasids,120.400002,150.399994,135.399994,,
ETT,eta Taurids,196,226,211,,
EUM,epsilon Ursae Majorids,91,121,106,,
EVI,Eta Virginids,348.067627,3.877655,356.947662,,
FAO,Febuary alpha Orionids,303,333,318,,
FBO,Phi-Bootids,26.299999,51.599998,40.700001,,
FCB,February Comae Berenicids,309,339,324,,
FCM,February Canis Majorids,315.600006,345.600006,330.600006,,
FED,February eta Draconids,300.109985,330.109985,315.109985,,
FEV,February epsilon Virginids,300,330,315,,
FHE,f Herculids,331,1,346,,
